name,category,target_muscle_group,equipment,equip_type,ref_link,image,comments
Barbell Shoulder Press,Shoulders,"Deltoid, Anterior",TRUE,Barbell,https://exrx.net/WeightExercises/DeltoidAnterior/BBShoulderPress,,
Pike Press,Shoulders,"Deltoid, Anterior",FALSE,,https://exrx.net/WeightExercises/DeltoidAnterior/BWPikePress,,
Dumbbell Lateral Raise,Shoulders,"Deltoid, Lateral",TRUE,Dumbbell,https://exrx.net/WeightExercises/DeltoidLateral/DBLateralRaise,,
Rear Delt Inverted Row,Shoulders,"Deltoid, Posterior",TRUE,Bar,https://exrx.net/WeightExercises/DeltoidPosterior/BWRearDeltInvertedRow,,
Dumbbell Front Lateral Raise,Shoulders,Supraspinatus,TRUE,Dumbbell,https://exrx.net/WeightExercises/Supraspinatus/DBFrontLateralRaise,,
Triceps Dip,Upper Arms,Triceps Brachii,TRUE,Bench,https://exrx.net/WeightExercises/Triceps/BWTriDipBenchesBentKnees,,
Chin-up,"Upper Arms, Back",Latissimus Dorsi,TRUE,Bar,https://exrx.net/WeightExercises/LatissimusDorsi/BWUnderhandChinup,,
Dumbbell Triceps Extension,Upper Arms,Triceps Brachii,TRUE,Dumbbell,https://exrx.net/WeightExercises/Triceps/DBTriExt,,
Barbell Curl,Upper Arms,Biceps Brachii,TRUE,Barbell,https://exrx.net/WeightExercises/Biceps/BBCurl,,
Close Grip Push-up,Upper Arms,Triceps Brachii,FALSE,,https://exrx.net/WeightExercises/Triceps/BWCloseGripPushup,,
Dumbbell Hammer Curl,Forearms,Brachioradialis,TRUE,Dumbbell,https://exrx.net/WeightExercises/Brachioradialis/DBHammerCurl,,
Barbell Reverse Curl,Forearms,Brachioradialis,TRUE,Barbell,https://exrx.net/WeightExercises/Brachioradialis/BBReverseCurl,,
Pull-up,"Back, Upper Arms, Chest",Latissimus Dorsi,TRUE,Bar,https://exrx.net/WeightExercises/LatissimusDorsi/BWPullup,,
Barbell Bent-over Row,Back,"Back, General",TRUE,Barbell,https://exrx.net/WeightExercises/BackGeneral/BBBentOverRow,,
Barbell Shrug,Back,"Trapezius, Upper",TRUE,Barbell,https://exrx.net/WeightExercises/TrapeziusUpper/BBShrug,,
Barbell Deadlift,Back,Erector Spinae,TRUE,Barbell,https://exrx.net/WeightExercises/ErectorSpinae/BBDeadlift,,
Bird Dog,Back,Erector Spinae,FALSE,,https://exrx.net/WeightExercises/ErectorSpinae/BWBirdDog,,
Push-up,Chest,"Pectoralis Major, Sternal",FALSE,,https://exrx.net/WeightExercises/PectoralSternal/BWPushup,,
Barbell Bench Press,Chest,"Pectoralis Major, Sternal",TRUE,Barbell,https://exrx.net/WeightExercises/PectoralSternal/BBBenchPress,,
Dumbbell Fly,Chest,"Pectoralis Major, Sternal",TRUE,Dumbbell,https://exrx.net/WeightExercises/PectoralSternal/DBFly,,
Chest Dip (between benches),Chest,"Pectoralis Major, Sternal",TRUE,Bench,https://exrx.net/WeightExercises/PectoralSternal/BWChestDipBenches,,
Dumbbell Pullover,Chest,"Pectoralis Major, Sternal",TRUE,Dumbbell,https://exrx.net/WeightExercises/PectoralSternal/DBPullover,,
Lunge,Thighs,Quadriceps,FALSE,,https://exrx.net/WeightExercises/Quadriceps/BWLunge,,
Squat,Thighs,Quadriceps,FALSE,,https://exrx.net/WeightExercises/Quadriceps/BWSquat,,
Barbell Straight Leg Deadlift,Thighs,Hamstrings,TRUE,Barbell,https://exrx.net/WeightExercises/Hamstrings/BBStraightLegDeadlift,,
Step-up,Thighs,Quadriceps,TRUE,Bench,https://exrx.net/WeightExercises/Quadriceps/BWStepUp,,
Single Leg Squat,Thighs,Quadriceps,FALSE,,https://exrx.net/WeightExercises/Quadriceps/BWSingleLegSquat,,
Standing Calf Raise,Calves,Gastrocnemius,FALSE,,https://exrx.net/WeightExercises/Gastrocnemius/BWStandingCalfRaise,,
Barbell Standing Leg Calf Raise,Calves,Gastrocnemius,TRUE,Barbell,https://exrx.net/WeightExercises/Gastrocnemius/BBStandingCalfRaise,,
Single Leg Calf Raise,Calves,Gastrocnemius,FALSE,,https://exrx.net/WeightExercises/Gastrocnemius/BWSingleLegCalfRaise,,
Sit-up,Core,Rectus Abdominis,FALSE,,https://exrx.net/WeightExercises/RectusAbdominis/BWSitUp,,
Jack-knife Sit-up,Core,Rectus Abdominis,FALSE,,https://exrx.net/WeightExercises/RectusAbdominis/WtJackKnifeSitUp,,
Crunch,Core,Rectus Abdominis,FALSE,,https://exrx.net/WeightExercises/RectusAbdominis/BWCrunch,,
V-up,Core,Rectus Abdominis,FALSE,,https://exrx.net/WeightExercises/RectusAbdominis/WtVUp,,
Side Bridge,Core,Obliques,FALSE,,https://exrx.net/WeightExercises/Obliques/BWSideBridge,,
Front Plank,Core,Rectus Abdominis,FALSE,,https://exrx.net/WeightExercises/RectusAbdominis/BWFrontPlank,,
